X:Pos_TX-Body2-简单凸轮(m),X:Pos_TY-Body2-简单凸轮(m),X:Pos_TZ-Body2-简单凸轮(m),X:Vel_TX-Body2-简单凸轮(m/s),X:Vel_TY-Body2-简单凸轮(m/s),X:Vel_TZ-Body2-简单凸轮(m/s),X:Acc_TX-Body2-简单凸轮(m/s^2),X:Acc_TY-Body2-简单凸轮(m/s^2),X:Acc_TZ-Body2-简单凸轮(m/s^2),Y:Pos_TX-Body2-简单凸轮(m),Y:Pos_TY-Body2-简单凸轮(m),Y:Pos_TZ-Body2-简单凸轮(m),Y:Vel_TX-Body2-简单凸轮(m/s),Y:Vel_TY-Body2-简单凸轮(m/s),Y:Vel_TZ-Body2-简单凸轮(m/s),Y:Acc_TX-Body2-简单凸轮(m/s^2),Y:Acc_TY-Body2-简单凸轮(m/s^2),Y:Acc_TZ-Body2-简单凸轮(m/s^2)
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.40000000,0.0000000,0.0000000,0.0000000,0.0000000,-3.1696985e-14,-9.8100000,3.4139182e-14
0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,-1.6263231e-20,0.39999497,1.7573879e-20,-3.2109045e-17,-0.0099375300,3.4582992e-17,-3.1696985e-14,-9.8100000,3.4139182e-14
0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,-6.5761243e-20,0.39997965,7.1060915e-20,-6.4566758e-17,-0.019982970,6.9541514e-17,-3.1696985e-14,-9.8100000,3.4139182e-14
0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,-1.4849595e-19,0.39995404,1.6046318e-19,-9.7024470e-17,-0.030028410,1.0450004e-16,-3.1696985e-14,-9.8100000,3.4139182e-14
0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,-2.6446736e-19,0.39991815,2.8578068e-19,-1.2948218e-16,-0.040073850,1.3945856e-16,-3.1696985e-14,-9.8100000,3.4139182e-14
0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,-4.1367546e-19,0.39987197,4.4701340e-19,-1.6193989e-16,-0.050119290,1.7441708e-16,-3.1696985e-14,-9.8100000,3.4139182e-14
0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,-5.9612026e-19,0.39981550,6.4416135e-19,-1.9439761e-16,-0.060164730,2.0937560e-16,-3.1696985e-14,-9.8100000,3.4139182e-14
0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,-8.1180176e-19,0.39974875,8.7722454e-19,-2.2685532e-16,-0.070210170,2.4433413e-16,-3.1696985e-14,-9.8100000,3.4139182e-14
0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,-1.0607200e-18,0.39967171,1.1462030e-18,-2.5931303e-16,-0.080255610,2.7929265e-16,-3.1696985e-14,-9.8100000,3.4139182e-14
0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,-1.3428748e-18,0.39958439,1.4510966e-18,-2.9177074e-16,-0.090301050,3.1425117e-16,-3.1696985e-14,-9.8100000,3.4139182e-14
