X:Pos_TX-Body3-rev_clearance_joint(m),X:Pos_TY-Body3-rev_clearance_joint(m),X:Pos_TZ-Body3-rev_clearance_joint(m),X:Vel_TX-Body3-rev_clearance_joint(m/s),X:Vel_TY-Body3-rev_clearance_joint(m/s),X:Vel_TZ-Body3-rev_clearance_joint(m/s),X:Acc_TX-Body3-rev_clearance_joint(m/s^2),X:Acc_TY-Body3-rev_clearance_joint(m/s^2),X:Acc_TZ-Body3-rev_clearance_joint(m/s^2),Y:Pos_TX-Body3-rev_clearance_joint(m),Y:Pos_TY-Body3-rev_clearance_joint(m),Y:Pos_TZ-Body3-rev_clearance_joint(m),Y:Vel_TX-Body3-rev_clearance_joint(m/s),Y:Vel_TY-Body3-rev_clearance_joint(m/s),Y:Vel_TZ-Body3-rev_clearance_joint(m/s),Y:Acc_TX-Body3-rev_clearance_joint(m/s^2),Y:Acc_TY-Body3-rev_clearance_joint(m/s^2),Y:Acc_TZ-Body3-rev_clearance_joint(m/s^2)
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-1.5940650e-29,-9.8066500,6.0559754e-34
0.00010100000,0.00010100000,0.00010100000,0.00010100000,0.00010100000,0.00010100000,0.00010100000,0.00010100000,0.00010100000,-7.9139993e-40,-5.0018818e-08,1.0913450e-43,-7.9945458e-36,-0.00099047165,1.1155469e-39,-9.4439030e-40,-9.8066500,9.2752957e-40
0.00021300000,0.00021300000,0.00021300000,0.00021300000,0.00021300000,0.00021300000,0.00021300000,0.00021300000,0.00021300000,-1.6867891e-39,-2.2245895e-07,2.3407688e-43,-7.9945458e-36,-0.0020888165,1.1155597e-39,-1.1627631e-41,-9.8066500,1.5175488e-41
0.00030900000,0.00030900000,0.00030900000,0.00030900000,0.00030900000,0.00030900000,0.00030900000,0.00030900000,0.00030900000,-2.4542655e-39,-4.6817437e-07,3.4117064e-43,-7.9945458e-36,-0.0030302549,1.1155601e-39,-1.2196695e-42,-9.8066500,1.6135290e-42
0.00040500000,0.00040500000,0.00040500000,0.00040500000,0.00040500000,0.00040500000,0.00040500000,0.00040500000,0.00040500000,-3.2217419e-39,-8.0426788e-07,4.4826441e-43,-7.9945458e-36,-0.0039716933,1.1155602e-39,-2.7253545e-43,-9.8066500,3.6524950e-43
0.00050100000,0.00050100000,0.00050100000,0.00050100000,0.00050100000,0.00050100000,0.00050100000,0.00050100000,0.00050100000,-3.9892183e-39,-1.2307395e-06,5.5535819e-43,-7.9945458e-36,-0.0049131317,1.1155602e-39,-8.8622549e-44,-9.8066500,1.2017853e-43
0.00062900000,0.00062900000,0.00062900000,0.00062900000,0.00062900000,0.00062900000,0.00062900000,0.00062900000,0.00062900000,-5.0125201e-39,-1.9399564e-06,6.9814989e-43,-7.9945458e-36,-0.0061683829,1.1155602e-39,-1.9822078e-44,-9.8066500,2.7213006e-44
0.00075700000,0.00075700000,0.00075700000,0.00075700000,0.00075700000,0.00075700000,0.00075700000,0.00075700000,0.00075700000,-6.0358220e-39,-2.8098455e-06,8.4094160e-43,-7.9945458e-36,-0.0074236341,1.1155602e-39,-6.4481625e-45,-9.8066500,9.0963083e-45
0.00082100000,0.00082100000,0.00082100000,0.00082100000,0.00082100000,0.00082100000,0.00082100000,0.00082100000,0.00082100000,-6.5474729e-39,-3.3050421e-06,9.1233745e-43,-7.9945458e-36,-0.0080512597,1.1155602e-39,-4.4351644e-45,-9.8066500,6.3710859e-45
0.00094900000,0.00094900000,0.00094900000,0.00094900000,0.00094900000,0.00094900000,0.00094900000,0.00094900000,0.00094900000,-7.5707748e-39,-4.4159394e-06,1.0551292e-42,-7.9945458e-36,-0.0093065109,1.1155602e-39,-2.0964739e-45,-9.8066500,3.1045592e-45
0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,-8.0824257e-39,-5.0316401e-06,1.1265250e-42,-7.9945458e-36,-0.0099341365,1.1155602e-39,-1.4450890e-45,-9.8066500,2.1624484e-45
0.0011410000,0.0011410000,0.0011410000,0.0011410000,0.0011410000,0.0011410000,0.0011410000,0.0011410000,0.0011410000,-9.1057276e-39,-6.3835457e-06,1.2693167e-42,-7.9945458e-36,-0.011189388,1.1155602e-39,-6.8422777e-46,-9.8066500,1.0464208e-45
0.0012050000,0.0012050000,0.0012050000,0.0012050000,0.0012050000,0.0012050000,0.0012050000,0.0012050000,0.0012050000,-9.6173785e-39,-7.1197505e-06,1.3407126e-42,-7.9945458e-36,-0.011817013,1.1155602e-39,-4.6801179e-46,-9.8066500,7.2728200e-46
0.0013330000,0.0013330000,0.0013330000,0.0013330000,0.0013330000,0.0013330000,0.0013330000,0.0013330000,0.0013330000,-1.0640680e-38,-8.7126643e-06,1.4835043e-42,-7.9945458e-36,-0.013072264,1.1155602e-39,-2.2716362e-46,-9.8066500,3.5092064e-46
0.0015250000,0.0015250000,0.0015250000,0.0015250000,0.0015250000,0.0015250000,0.0015250000,0.0015250000,0.0015250000,-1.2175633e-38,-1.1403295e-05,1.6976918e-42,-7.9945458e-36,-0.014955141,1.1155602e-39,-1.0673953e-46,-9.8066500,1.8036351e-46
0.0016530000,0.0016530000,0.0016530000,0.0016530000,0.0016530000,0.0016530000,0.0016530000,0.0016530000,0.0016530000,-1.3198935e-38,-1.3397889e-05,1.8404835e-42,-7.9945458e-36,-0.016210392,1.1155602e-39,-7.3896599e-47,-9.8066500,1.3158689e-46
0.0017810000,0.0017810000,0.0017810000,0.0017810000,0.0017810000,0.0017810000,0.0017810000,0.0017810000,0.0017810000,-1.4222237e-38,-1.5553156e-05,1.9832752e-42,-7.9945458e-36,-0.017465644,1.1155602e-39,-5.4738221e-47,-9.8066500,9.5059550e-47
0.0019090000,0.0019090000,0.0019090000,0.0019090000,0.0019090000,0.0019090000,0.0019090000,0.0019090000,0.0019090000,-1.5245539e-38,-1.7869094e-05,2.1260669e-42,-7.9945458e-36,-0.018720895,1.1155602e-39,-3.2842933e-47,-9.8066500,6.8198264e-47
0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,-1.6268841e-38,-2.0345705e-05,2.2688586e-42,-7.9945458e-36,-0.019976146,1.1155602e-39,-2.1895289e-47,-9.8066500,4.8692427e-47
0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,-1.7292143e-38,-2.2982988e-05,2.4116503e-42,-7.9945458e-36,-0.021231397,1.1155602e-39,-1.6421466e-47,-9.8066500,3.4636358e-47
0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,-1.8315444e-38,-2.5780942e-05,2.5544420e-42,-7.9945458e-36,-0.022486648,1.1155602e-39,-5.4738221e-48,-9.8066500,2.4573399e-47
0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,-1.9338746e-38,-2.8739570e-05,2.6972337e-42,-7.9945458e-36,-0.023741900,1.1155602e-39,-5.4738221e-48,-9.8066500,1.7402371e-47
0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,-2.0362048e-38,-3.1858869e-05,2.8400255e-42,-7.9945458e-36,-0.024997151,1.1155602e-39,-1.0947644e-47,-9.8066500,1.2305409e-47
0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,-2.1385350e-38,-3.5138840e-05,2.9828172e-42,-7.9945458e-36,-0.026252402,1.1155602e-39,-1.0947644e-47,-9.8066500,8.6811398e-48
0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,-2.2408652e-38,-3.8579484e-05,3.1256089e-42,-7.9945458e-36,-0.027507653,1.1155602e-39,-1.0947644e-47,-9.8066500,6.1206312e-48
0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,-2.4455256e-38,-4.5942787e-05,3.4111923e-42,-7.9945458e-36,-0.030018156,1.1155602e-39,0.0000000,-9.8066500,5.0435070e-48
0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,-2.6501859e-38,-5.3948779e-05,3.6967757e-42,-7.9945458e-36,-0.032528658,1.1155602e-39,5.4738221e-48,-9.8066500,3.9610373e-48
0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,-2.8548463e-38,-6.2597460e-05,3.9823591e-42,-7.9945458e-36,-0.035039160,1.1155602e-39,1.6421466e-47,-9.8066500,3.0228969e-48
