X:Vel_RX-GEAR22-jiandanjiaolian(rad/s),X:Vel_RY-GEAR22-jiandanjiaolian(rad/s),X:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),X:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2),Y:Vel_RX-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RY-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),Y:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2)
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,0.0010130000,-1.3690249,-4.7117614e-15,4.8637537e-15,-0.39525866,-1.3603583e-15,1.4042408e-15
0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,0.0020370000,-1.3690378,-4.7118055e-15,4.8637993e-15,-0.00019299739,-6.6423746e-19,6.8566448e-19
0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,-1.3690378,-4.7118056e-15,4.8637993e-15,-1.5077921e-06,-5.1893552e-21,5.3567537e-21
0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,-1.3690378,-4.7118056e-15,4.8637993e-15,-9.4237008e-08,-3.2433470e-22,3.3479711e-22
0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,-1.3690378,-4.7118056e-15,4.8637993e-15,-5.8898130e-09,-2.0270919e-23,2.0924819e-23
0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,-1.3116582,-4.5143227e-15,4.6599460e-15,74.713026,2.5713918e-13,-2.6543399e-13
0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,-0.85620766,-2.9468025e-15,3.0418607e-15,359.93169,1.2387738e-12,-1.2787342e-12
0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,-0.78710078,-2.7089580e-15,2.7963437e-15,89.982922,3.0969345e-13,-3.1968356e-13
0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,-0.76982406,-2.6494968e-15,2.7349645e-15,22.495730,7.7423362e-14,-7.9920889e-14
0.010229000,0.010229000,0.010229000,0.010229000,0.010229000,0.010229000,-0.76550488,-2.6346315e-15,2.7196196e-15,5.6239326,1.9355840e-14,-1.9980222e-14
0.011253000,0.011253000,0.011253000,0.011253000,0.011253000,0.011253000,-0.76442508,-2.6309152e-15,2.7157834e-15,1.4059832,4.8389601e-15,-4.9950556e-15
0.012253000,0.012253000,0.012253000,0.012253000,0.012253000,0.012253000,-0.76407359,-2.6297055e-15,2.7145347e-15,0.70299158,2.4194801e-15,-2.4975278e-15
