scenario,variant,time,epsF,epsM,epsCoP,epsGap,pos_error,vel_error,ang_vel_error,linear_impulse_error,angular_impulse_error,energy_dense,energy_reduced,energy_drift_diff,temporal_hausdorff,temporal_mean_drift,support_churn,patch_count,subpatch_count,dense_contacts,reduced_contacts,max_subpatch_plane_error,max_subpatch_second_moment_error,max_subpatch_cone_error,max_subpatch_gap_error,max_subpatch_force_residual,max_subpatch_moment_residual,max_subpatch_reference_wrench_error,max_subpatch_reference_cop_error,max_dense_micro_force_residual,max_dense_micro_moment_residual
tilted_plate_impact,full,0.0005,0.13159,0.0252,0.000724371,0.000824983,4.32591e-05,0.0865183,1.77957,0.0692146,0.000414735,0.181723,0.19723,0.0155066,0,0,1,1,4,189,35,0.00257493,0.910387,0.241668,0.000824983,0.163058,0.666925,0.00445308,0.00131708,0.00353045,0.00283064
tilted_plate_impact,full,0.001,0.00140057,0.000471156,0.000179534,0.000373261,9.54775e-05,0.104542,0.932039,0.0152851,0.000221398,0.181713,0.205947,0.0242337,0.00444175,0.00148032,0.3125,1,4,186,49,0.00260838,0.915178,0.186126,0.000373261,0.699199,0.623895,0.581272,0.00288304,0.00240296,0.00100642
tilted_plate_impact,full,0.0015,0.00780251,0.0037746,0.000311127,9.38386e-05,0.000147733,0.104542,0.931504,0,2.00696e-09,0.181704,0.205938,0.0242337,0.00274124,0.00195495,0,1,4,180,46,0.0025768,0.880303,0.160987,9.38386e-05,0.230284,0.206829,0.204215,0.00268976,0.00298351,0.00150972
tilted_plate_impact,full,0.002,0.00591598,0.00158581,0.000386786,0.000160812,0.000199997,0.104542,0.930968,0,1.99659e-09,0.181695,0.205928,0.0242338,0.00352994,0.0013373,0,1,4,171,42,0.00242268,0.858797,0.244736,0.000160812,0.0704327,0.0942719,0.0982074,0.00240544,0.00356212,0.00185389
tilted_plate_impact,full,0.0025,0.000483896,0.00381404,0.0004614,0.000312764,0.000252263,0.104542,0.93043,0,1.98629e-09,0.181685,0.205919,0.0242338,0.0048952,0.00104798,0,1,4,165,38,0.00223124,1.00621,0.284325,0.000312764,0.0676387,0.125536,0.134726,0.00271451,0.00199478,0.000695854
tilted_plate_impact,full,0.003,0.00837658,0.00572709,0.000521259,0.000388173,0.000304532,0.104542,0.929891,0,1.97607e-09,0.181676,0.20591,0.0242338,0.00367608,0.00143207,0,1,4,159,38,0.00204674,0.399797,0.215804,0.000388173,0.0015683,9.27989e-06,0.00156831,0.00168873,0.00183397,0.00092447
tilted_plate_impact,full,0.0035,0.0113345,0.00154631,0.000449799,0.000362111,0.000356801,0.104542,0.929351,4.42354e-17,1.96591e-09,0.181666,0.2059,0.0242338,0.00283939,0.00156021,0,1,4,151,35,0.00189881,0.200246,0.217462,0.000362111,0.0929172,0.176763,0.0125503,0.00177098,0.0016688,0.00101448
tilted_plate_impact,full,0.004,0.0254922,0.041804,0.00154983,0.000388741,0.00040907,0.104542,0.92881,2.25514e-17,1.95582e-09,0.181657,0.205891,0.0242338,0.00274426,0.000918007,0,1,4,142,34,0.00173474,0.197155,0.209112,0.000388741,0.0816463,0.206602,0.160168,0.00202238,0.00138603,0.00098947
tilted_plate_impact,full,0.0045,0,0,0,2.3049e-05,0.00046134,0.104542,0.928267,0,1.9458e-09,0.181647,0.205881,0.0242338,0.0041245,0.00186279,0,1,4,132,32,0.00140288,0.244154,0.258106,2.3049e-05,0,0,0,0,0,0
tilted_plate_impact,full,0.005,0,0,0,0,0.00051361,0.104542,0.927723,2.1684e-17,1.93585e-09,0.181638,0.205872,0.0242338,0.00351027,0.00133883,0,1,4,123,32,0.00124277,0.216393,0.242617,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0055,0,0,0,0,0.00056588,0.104542,0.927178,0,1.92596e-09,0.181629,0.205862,0.0242338,0.00309258,0.00165771,0,1,4,112,32,0.00113706,0.17466,0.242679,0,0,0,0,0,0,0
tilted_plate_impact,full,0.006,0,0,0,0,0.000618151,0.104542,0.926631,2.25514e-17,1.91612e-09,0.181619,0.205853,0.0242338,0.00382442,0.00165992,0,1,4,100,32,0.000908688,0.177934,0.224261,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0065,0,0,0,0,0.000670421,0.104542,0.926083,0,1.90635e-09,0.18161,0.205843,0.0242338,0.0151447,0.00261752,0.25,1,3,86,24,0.000818702,0.538471,0.367523,0,0,0,0,0,0,0
tilted_plate_impact,full,0.007,0,0,0,0,0.000722692,0.104542,0.925534,2.25514e-17,1.89663e-09,0.1816,0.205834,0.0242338,0.00775742,0.00147148,0.333333,1,2,72,16,0.000813127,0.400761,0.377785,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0075,0,0,0,0,0.000774962,0.104542,0.924983,0,1.88697e-09,0.181591,0.205825,0.0242338,0.00502225,0.00232764,0.5,1,1,56,8,0.000671515,0.131277,0.13794,0,0,0,0,0,0,0
tilted_plate_impact,full,0.008,0,0,0,0,0.000827233,0.104542,0.924431,0,1.87736e-09,0.181581,0.205815,0.0242338,0.00336246,0.00179764,0,1,1,40,8,0.000353512,0.350082,0.111652,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0085,0,0,0,0,0.000879504,0.104542,0.923878,0,1.86781e-09,0.181572,0.205806,0.0242338,0.00989311,0.00145455,0.625,1,1,24,3,8.62366e-05,0.286901,0.193838,0,0,0,0,0,0,0
tilted_plate_impact,full,0.009,0,0,0,0,0.000931774,0.104542,0.923323,0,1.8583e-09,0.181562,0.205796,0.0242338,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0095,0,0,0,0,0.000984045,0.104542,0.922767,0,1.84884e-09,0.181553,0.205787,0.0242338,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.01,0,0,0,0,0.00103632,0.104542,0.92221,0,1.83943e-09,0.181544,0.205777,0.0242338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0105,0,0,0,0,0.00108859,0.104542,0.921651,0,1.83007e-09,0.181534,0.205768,0.0242338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.011,0,0,0,0,0.00114086,0.104542,0.921092,0,1.82075e-09,0.181525,0.205758,0.0242338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0115,0,0,0,0,0.00119313,0.104542,0.92053,0,1.81147e-09,0.181515,0.205749,0.0242338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.012,0,0,0,0,0.0012454,0.104542,0.919968,0,1.80224e-09,0.181506,0.20574,0.0242338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0125,0,0,0,0,0.00129767,0.104542,0.919404,0,1.79304e-09,0.181496,0.20573,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.013,0,0,0,0,0.00134994,0.104542,0.918839,2.25514e-17,1.78389e-09,0.181487,0.205721,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0135,0,0,0,0,0.00140221,0.104542,0.918273,0,1.77478e-09,0.181477,0.205711,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.014,0,0,0,0,0.00145448,0.104542,0.917705,2.25514e-17,1.7657e-09,0.181468,0.205702,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0145,0,0,0,0,0.00150675,0.104542,0.917136,0,1.75667e-09,0.181458,0.205692,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.015,0,0,0,0,0.00155902,0.104542,0.916566,2.25514e-17,1.74767e-09,0.181449,0.205683,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0155,0,0,0,0,0.0016113,0.104542,0.915995,0,1.7387e-09,0.18144,0.205673,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.016,0,0,0,0,0.00166357,0.104542,0.915422,2.25514e-17,1.72978e-09,0.18143,0.205664,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0165,0,0,0,0,0.00171584,0.104542,0.914849,0,1.72089e-09,0.181421,0.205655,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.017,0,0,0,0,0.00176811,0.104542,0.914274,2.25514e-17,1.71203e-09,0.181411,0.205645,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0175,0,0,0,0,0.00182038,0.104542,0.913698,1.12757e-17,1.70321e-09,0.181402,0.205636,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.018,0,0,0,0,0.00187265,0.104542,0.91312,2.25514e-17,1.69442e-09,0.181392,0.205626,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0185,0,0,0,0,0.00192492,0.104542,0.912542,0,1.68567e-09,0.181383,0.205617,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.019,0,0,0,0,0.00197719,0.104542,0.911962,1.12757e-17,1.67695e-09,0.181373,0.205607,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0195,0,0,0,0,0.00202946,0.104542,0.911382,0,1.66827e-09,0.181364,0.205598,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.02,0,0,0,0,0.00208173,0.104542,0.9108,0,1.65962e-09,0.181354,0.205588,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0205,0,0,0,0,0.002134,0.104542,0.910218,0,1.651e-09,0.181345,0.205579,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.021,0,0,0,0,0.00218628,0.104542,0.909634,0,1.64243e-09,0.181335,0.205569,0.0242339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilted_plate_impact,full,0.0215,0,0,0,0,0.00223855,0.104542,0.909049,0,1.63389e-09,0.181326,0.20556,0.0242339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
